year month day hour kwh cumulated_kwh
2015 1 1 0 NA 830175
2015 1 1 1 1 830176
2015 1 1 2 NA 830176
2015 1 1 3 NA 830176
2015 1 1 4 NA 830176
2015 1 1 5 NA 830176
2015 1 1 6 NA 830176
2015 1 1 7 NA 830176
2015 1 1 8 NA 830176
2015 1 1 9 NA 830176
2015 1 1 10 NA 830176
2015 1 1 11 NA 830176
2015 1 1 12 NA 830176
2015 1 1 13 NA 830176
2015 1 1 14 NA 830176
2015 1 1 15 1 830177
2015 1 1 16 NA 830177
2015 1 1 17 NA 830177
2015 1 1 18 NA 830177
2015 1 1 19 NA 830177
2015 1 1 20 NA 830177
2015 1 1 21 NA 830177
2015 1 1 22 NA 830177
2015 1 1 23 NA 830177
2015 1 2 0 NA 830177
2015 1 2 1 NA 830177
2015 1 2 2 NA 830177
2015 1 2 3 NA 830177
2015 1 2 4 NA 830177
2015 1 2 5 NA 830177
2015 1 2 6 NA 830177
2015 1 2 7 NA 830177
2015 1 2 8 1 830178
2015 1 2 9 NA 830178
2015 1 2 10 NA 830178
2015 1 2 11 NA 830178
2015 1 2 12 NA 830178
2015 1 2 13 NA 830178
2015 1 2 14 1 830179
2015 1 2 15 1 830180
2015 1 2 16 2 830182
2015 1 2 17 3 830185
2015 1 2 18 8 830193
2015 1 2 19 11 830204
2015 1 2 20 18 830222
2015 1 2 21 19 830241
2015 1 2 22 27 830268
2015 1 2 23 32 830300
2015 1 3 0 35 830335
2015 1 3 1 45 830380
2015 1 3 2 38 830418
2015 1 3 3 46 830464
2015 1 3 4 46 830510
2015 1 3 5 49 830559
2015 1 3 6 47 830606
2015 1 3 7 48 830654
2015 1 3 8 49 830703
2015 1 3 9 57 830760
2015 1 3 10 57 830817
2015 1 3 11 55 830872
2015 1 3 12 50 830922
2015 1 3 13 59 830981
2015 1 3 14 61 831042
2015 1 3 15 60 831102
2015 1 3 16 59 831161
2015 1 3 17 58 831219
2015 1 3 18 51 831270
2015 1 3 19 59 831329
2015 1 3 20 52 831381
2015 1 3 21 51 831432
2015 1 3 22 58 831490
2015 1 3 23 56 831546
2015 1 4 0 68 831614
2015 1 4 1 69 831683
2015 1 4 2 75 831758
2015 1 4 3 75 831833
2015 1 4 4 74 831907
2015 1 4 5 72 831979
2015 1 4 6 75 832054
2015 1 4 7 65 832119
2015 1 4 8 66 832185
2015 1 4 9 63 832248
2015 1 4 10 55 832303
