year month day hour T01 T02 T03 T04 T05 T06 T07 T08 T09 T10 T11 T12 T13 T14 T15 T16
2015 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 9 NA NA NA 120 NA NA NA NA 360 240 240 240 360 NA NA NA
2015 1 1 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 13 NA NA NA NA NA 120 120 NA 120 120 120 NA NA NA NA NA
2015 1 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 17 NA NA NA 120 NA 120 NA NA 120 NA NA NA NA NA NA NA
2015 1 1 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 21 NA NA NA NA NA NA 120 NA NA 120 NA NA NA NA NA NA
2015 1 1 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 9 NA NA NA 240 NA 240 240 NA 240 120 240 240 240 NA NA NA
2015 1 2 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 13 NA 240 NA 480 NA 360 360 NA 360 360 360 240 240 NA NA NA
2015 1 2 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 17 NA 720 NA 1200 NA 1200 1200 NA 1440 1320 1440 1080 1440 NA NA NA
2015 1 2 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 21 NA 1080 NA 2640 NA 2280 2160 NA 2400 2640 2640 2160 3120 NA NA NA
2015 1 2 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 9 NA 4320 NA 7320 NA 7920 7680 NA 7920 8880 7920 5520 7560 NA NA NA
2015 1 3 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 13 NA 5280 NA 7560 NA 8280 8760 NA 10440 11520 12000 8880 11520 NA NA NA
2015 1 3 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 21 NA 2400 NA 6000 NA 5880 5760 NA 5400 5640 5280 3600 5040 NA NA NA
2015 1 3 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 9 NA 3960 NA 6840 NA 6840 7080 NA 8160 8760 8400 5640 7560 NA NA NA
2015 1 4 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 13 NA 5640 NA 7800 NA 9000 9720 NA 10440 11280 10920 7440 10440 NA NA NA
