year month day hour T01 T02 T03 T04 T05 T06 T07 T08 T09 T10 T11 T12 T13 T14 T15 T16
2015 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 9 NA 311 NA 549 799 555 598 NA 885 824 824 848 958 NA NA NA
2015 1 1 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 13 NA 409 NA 451 781 439 488 NA 500 464 415 409 470 NA NA NA
2015 1 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 17 NA 323 NA 415 683 336 366 NA 464 409 342 311 366 NA NA NA
2015 1 1 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 21 NA 256 NA 403 512 354 336 NA 354 329 317 329 390 NA NA NA
2015 1 1 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 1 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 9 NA 378 NA 787 952 738 683 NA 714 689 653 671 726 NA NA NA
2015 1 2 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 13 NA 756 NA 891 1269 897 915 NA 872 836 811 817 848 NA NA NA
2015 1 2 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 17 NA 1293 NA 1519 2452 1592 1641 NA 1818 1714 1739 1739 1757 NA NA NA
2015 1 2 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 21 NA 1885 NA 2782 3331 2513 2477 NA 2721 2660 2739 2800 2946 NA NA NA
2015 1 2 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 2 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 9 NA 4160 NA 5228 6643 4856 4929 NA 5472 5283 5033 4782 4764 NA NA NA
2015 1 3 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 13 NA 3794 NA 4435 6112 4606 4929 NA 5856 5941 6253 6124 5966 NA NA NA
2015 1 3 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 21 NA 3062 NA 4313 5758 4172 4215 NA 4496 4209 3965 3800 3880 NA NA NA
2015 1 3 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 3 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 9 NA 3843 NA 4953 6094 4673 4911 NA 5667 5118 5466 4703 4703 NA NA NA
2015 1 4 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 4 13 NA 4398 NA 4941 6948 5222 5600 NA 6301 6289 6503 6100 5978 NA NA NA
